timestamps,TP9,AF7,AF8,TP10,Right AUX,Secondary Timestamp
1652668544.156,38.086,-106.934,-54.199,19.531,11.719,26705.073
1652668544.160,-42.969,173.828,-64.453,-52.246,-114.746,26705.077
1652668544.164,-122.070,-117.676,-90.332,-103.027,-114.746,26705.081
1652668544.168,-75.684,-426.270,-85.449,-60.547,49.805,26705.085
1652668544.171,20.508,-382.324,-45.410,6.348,151.855,26705.089
1652668544.175,-15.137,-52.734,-42.969,-28.320,87.402,26705.093
1652668544.179,-94.238,239.258,-51.270,-76.660,-103.516,26705.097
1652668544.183,-62.500,-426.270,-35.645,-31.250,75.684,26705.100
1652668544.187,13.184,-599.121,-42.480,10.742,211.426,26705.104
1652668544.205,-8.301,225.586,-61.035,-23.926,-28.809,26705.110
1652668544.209,-104.004,155.762,-81.055,-87.402,-153.809,26705.114
1652668544.213,-108.398,-644.043,-96.191,-78.613,37.109,26705.118
1652668544.217,-6.348,-572.266,-77.637,-4.395,96.680,26705.122
1652668544.221,19.043,297.852,-58.105,-4.883,-105.469,26705.125
1652668544.225,-88.867,31.738,-56.641,-85.938,-72.754,26705.129
1652668544.229,-128.418,-733.887,-68.359,-96.191,145.508,26705.133
1652668544.232,-33.691,-435.059,-62.012,-13.184,71.289,26705.137
1652668544.236,39.062,387.207,-39.551,33.691,-95.703,26705.141
1652668544.240,-37.598,114.258,-33.691,-29.297,-83.984,26705.145
1652668544.244,-119.141,-172.852,-70.312,-84.473,-94.238,26705.149
1652668544.248,-69.824,175.293,-94.238,-42.969,-131.348,26705.153
1652668544.234,10.254,389.160,-76.660,0.977,-71.777,26705.153
1652668544.238,-32.227,118.652,-62.500,-41.504,-13.672,26705.157
1652668544.242,-97.168,-53.223,-52.734,-68.359,-99.609,26705.161
1652668544.246,-81.055,155.762,-45.898,-44.434,-173.340,26705.165
1652668544.250,1.953,142.578,-40.039,5.371,-123.047,26705.169
1652668544.254,11.719,-397.461,-43.457,5.371,105.957,26705.173
1652668544.258,-63.477,-655.762,-53.223,-45.410,169.922,26705.177
1652668544.261,-78.125,-315.430,-68.359,-54.688,-9.277,26705.181
1652668544.265,19.531,-135.254,-48.340,19.531,-83.496,26705.185
1652668544.269,64.941,-425.293,-24.902,51.270,101.562,26705.189
